PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Yang, Lu-Xing; Li, Pengdeng; Zhang, Yushu; Yang, Xiaofan; Xiang, Yong; Zhou, Wanlei					Xiang, Yong/0000-0003-3545-7863; zhang, yushu/0000-0001-8183-8435; Yang, Lu-Xing/0000-0002-9229-5787			Effective Repair Strategy Against Advanced Persistent Threat: A Differential Game Approach								IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY				14	7			1713	1728		10.1109/TIFS.2018.2885251					JUL 2019	2019	Advanced persistent threat (APT) is a new kind of cyberattack that poses a serious threat to modern society. When an APT campaign on an organization has been identified, the available repair resources must be reasonably allocated to the potentially insecure hosts to mitigate the potential loss of the organization. We refer to the feasible repair resource allocation strategies as repair strategies. This paper focuses on the APT repair problem, i.e., the problem of developing effective repair strategies for organizations. First, for an organization with time-varying communication relationship, we establish an evolution model of the organization's expected state, in which the impact of lateral movement of APT is accommodated. On this basis, we model the APT repair problem as a differential Nash game problem (the APT repair game) in which the attacker attempts to maximize his potential benefit, and the organization manages to minimize its potential loss. Second, we derive a system (the potential system) for calculating a potential Nash equilibrium of an APT repair game, and we examine the structure of the potential attack and repair strategies in a potential Nash equilibrium. Next, we solve some potential systems to get the corresponding potential Nash equilibria. Finally, by comparison with a large number of randomly generated attack and repair strategies, we conclude that the potential Nash equilibrium of each APT repair game is a Nash equilibrium of the game. Therefore, we recommend to organizations their respective potential repair strategies. Our findings help to better understand and effectively defend against APT.									2	0	0	0	0	2			1556-6013	1556-6021		WOS:000462364200003		
J	Zhao, Dawei; Wang, Lianhai; Wang, Zhen; Xiao, Gaoxi				Xiao, Gaoxi/A-5095-2011	Xiao, Gaoxi/0000-0002-4171-6799			Virus Propagation and Patch Distribution in Multiplex Networks: Modeling, Analysis, and Optimal Allocation								IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY				14	7			1755	1767		10.1109/TIFS.2018.2885254					JUL 2019	2019	Efficient security patch distribution is of essential importance for updating anti-virus software to ensure effective and timely virus detection and cleanup. In this paper, we propose a mixed strategy of patch distribution to combine the advantages of the traditional centralized patch distribution strategy and decentralized patch distribution strategy. A novel network model that contains a central node and a multiplex network composed of patch dissemination network layer and virus propagation network layer is presented, and a competing spreading dynamical process on top of the network model that simulates the interplay between virus propagation and patch dissemination is developed. Such a new framework helps in effectively analyzing the impacts of patches distribution on virus propagation, and developing more realizable schemes for restraining virus propagation. Furthermore, considering the constraints of the capacity of the central node and the bandwidth of network links, an optimal allocation approach of patches is proposed, which could simultaneously optimize multiple dynamical parameters to effectively restrain the virus propagation with a given budget.									0	0	0	0	0	0			1556-6013	1556-6021		WOS:000462364200006		
J	Busby, J. S.								The co-evolution of competition and parasitism in the resource-based view: A risk model of product counterfeiting								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				276	1			300	313		10.1016/j.ejor.2018.12.039					JUL 1 2019	2019	The primary concern in the resource-based view of the firm has been competition. For many firms, however, the relevant ecology includes parasites as well as competitors - notably product counterfeiters who parasitically exploit a firm's reputational resource. This parasitic process both diminishes the reputational resource it exploits, and produces significant risk of harm as a by-product. This article extends the resource-based view, presenting an account of the mechanism by which competition and parasitism co-evolve and produce a distinctive form of resource erosion. It does so using a model which, because a firm's reputational resource exists distributedly in the minds of mutually-influencing but not centrally coordinated consumers, takes an agent-based approach. This model then naturally forms a basis for the probabilistic risk assessment of the consequences of parasitism - particularly the harm that arises from the counterfeiting of safety critical products such as pharmaceuticals. The intended contribution is to show how the resource-based view can be extended to reflect the fact that heterogeneous resource distribution is implicated in parasitism as much as competition, and to show how a model of the underlying mechanisms can support risk analysis. (C) 2018 Elsevier B.V. All rights reserved.									1	0	0	0	0	1			0377-2217	1872-6860		WOS:000461265600022		
J	Kabir, K. M. Ariful; Tanimoto, Jun								Analysis of epidemic outbreaks in two-layer networks with different structures for information spreading and disease diffusion								COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION				72				565	574		10.1016/j.cnsns.2019.01.020					JUN 30 2019	2019	A two-layer susceptible-infected-recovered/unaware-aware (SIR-UA) epidemic model is presented to analyze the effect of different heterogeneous networks in a population. Random, scale-free, and small-world network topologies are tested to investigate the impact of awareness on the spread of epidemics in a two-layer network with diverse combinations of degree and structure. Susceptible and infected (both unaware and aware) individuals are associated with their neighboring nodes in a social network structure with various degree distributions. In the two-layer SIR-UA epidemic model, a virtual network represents the connections that spread information, while a physical network represents the physical social interactions that spread diseases. We test various combinations of network structures in virtual or physical networks, to understand the impact of information diffusion on the spread of epidemics in a heterogeneous network structure. Then, the effects of awareness on the spread of a disease are discussed. Finally, phase diagrams are illustrated to reveal the final regions covered by an epidemic with various network parameters. We find that a disease spreads less if the virtual social network is more connected than the network of physical connections. (C) 2019 Elsevier B.V. All rights reserved.									2	0	0	0	0	2			1007-5704	1878-7274		WOS:000461321900039		
J	Pinto, Leizer L.; Fernandes, Katia C. C.; Cardoso, Kleber V.; Maculan, Nelson								An exact and polynomial approach for a bi-objective integer programming problem regarding network flow routing								COMPUTERS & OPERATIONS RESEARCH				106				28	35		10.1016/j.cor.2019.02.004					JUN 2019	2019	This paper presents a bi-objective network flow routing problem regarding network load balancing and flow path length. The problem is formulated within the integer programming framework and an exact and polynomial approach based on the epsilon-constraint technique is presented. In each iteration, our algorithm solves a single-objective linear integer programming subproblem. The goal of our approach is to obtain a minimal complete set of Pareto-optimal solutions. Our proposal was evaluated through several computational experiments, which included grid and random networks. The random topology was generated by the Barabasi-Albert model and the settings of the network flows defined here are those commonly used in wireless sensor networks and wireless mesh networks. The analysis of the computational results provide a decision maker with valuable information about which factors most affect the solutions, for example, the smallest and largest bottleneck, the size of increment in the shortest path of the last Pareto-optimal solution and the difference between the path lengths of the first and last Pareto-optimal solutions generated. (C) 2019 Elsevier Ltd. All rights reserved.									0	0	0	0	0	0			0305-0548	1873-765X		WOS:000466620800003		
J	Eletreby, Rashad; Yagan, Osman					Yagan, Osman/0000-0002-7057-2966			k-Connectivity of Inhomogeneous Random Key Graphs With Unreliable Links								IEEE TRANSACTIONS ON INFORMATION THEORY				65	6			3922	3949		10.1109/TIT.2019.2892029					JUN 2019	2019	We consider secure and reliable connectivity in wireless sensor networks that utilize the heterogeneous random key predistribution scheme. We model the unreliability of wireless links by an on/off channel model that induces an Erdos-Renyi graph, while the heterogeneous scheme induces an inhomogeneous random key graph. The overall network can thus be modeled by the intersection of both graphs. We present conditions (in the form of zero-one laws) on how to scale the parameters of the intersection model, so that with high probability: i) all of its nodes are connected to at least k other nodes, i.e., the minimum node degree of the graph is no less than k, and ii) the graph is k-connected, i.e., the graph remains connected even if any k-1 nodes leave the network. These results are shown to complement and generalize several previous results in the literature. We also present numerical results to support our findings in the finite-node regime. Finally, we demonstrate via simulations that our results are also useful when the on/off channel model is replaced with the more realistic disk communication model.					IEEE International Symposium on Information Theory (ISIT)IEEE International Symposium on Information Theory (ISIT)	JUN 25-30, 2017JUN 25-30, 2017	IEEEIEEE	Aachen, GERMANYAachen, GERMANY	0	0	0	0	0	0			0018-9448	1557-9654		WOS:000468433400038		
J	Soekarjo, Kasper M. W.; Textor, Johannes; de Boer, Rob J.				De Boer, Rob/B-6050-2011; Textor, Johannes/E-1792-2016	De Boer, Rob/0000-0002-2130-691X; Textor, Johannes/0000-0002-0459-9458			Local Attachment Explains Small World-like Properties of Fibroblastic Reticular Cell Networks in Lymph Nodes								JOURNAL OF IMMUNOLOGY				202	11			3318	3325		10.4049/jimmunol.1801016					JUN 1 2019	2019	Fibroblastic reticular cells (FRCs) form a cellular network that serves as the structural backbone of lymph nodes and facilitates lymphocyte migration. In mice, this FRC network has been found to have small-world properties. Using a model based on geographical preferential attachment, we simulated the formation of a variety of cellular networks and show that similar small-world properties robustly emerge under such natural conditions. By estimating the parameters of this model, we generated FRC network representations with realistic topological properties. We found that the topological properties change markedly when the network is expanded from a thin slice to a three-dimensional cube. Typical small-world properties were found to persist as network size was increased. The simulated networks were very similar to two-dimensional and three-dimensional lattice networks. According to the used metrics, these lattice networks also have small-world properties, indicating that lattice likeness is sufficient to become classified as a small-world network. Our results explain why FRC networks have small-world properties and provide a framework for simulating realistic FRC networks.									0	0	0	0	0	0			0022-1767	1550-6606		WOS:000468338400020	30996001	
J	Amala, Arumugam; Emerson, Isaac Arnold								Understanding contact patterns of protein structures from protein contact map and investigation of unique patterns in the globin-like folded domains								JOURNAL OF CELLULAR BIOCHEMISTRY				120	6			9877	9886		10.1002/jcb.28270					JUN 2019	2019	Proteins are biochemical compounds made up of one or more polypeptides in a specific order, typically folded into a functionally active form. Proteins are categorized into four different structural classes according to the topology of -helices and -strands. In this study, we modeled these four structural classes as an undirected network depicting amino acids as nodes and interaction between them as edges. Results infer that basic protein classes can be easily recognized as well as distinguished by utilizing protein contact maps (PCM). Toward studying the globin-like fold, the helix-loop-helix region contacts were seen to be of a unique pattern, and these remained in all the folds. Further, the averaged diagonal contacts were analyzed and identified those contacts in / proteins were higher in comparison with the other class. Interesting, we noticed that anti-parallel beta sheets were dominant in all- and + classes that lead to similar diagonal patterns. Network properties of all four basic classes were analyzed and found to possess small-world property. Findings infer that PCM may assist classify protein structure classes and it also helps in evaluating the predicted protein structures.									0	0	0	0	0	0			0730-2312	1097-4644		WOS:000467135600105	30525229	
J	Fisher, Donald M.; Hooker, John N.; Oakley, David O. S.								Numerical models for slip on the subduction interface motivated by field observations								LITHOSPHERE				11	3			322	332		10.1130/L1008.1					JUN 2019	2019	Observations of ancient subduction fault zones, combined with mechanical models of the plate interface, indicate that many first-order features of shallow subduction seismicity can result from failure of areas of the interface that nucleate and strengthen during interseismic periods at rates determined by silica kinetics. In the Shimanto belt, Japan, and in the Kodiak archipelago in Alaska, shear zones of tectonic melange were accreted at a range of depths representative of the seismogenic zone. The scaly fabric and crack-seal veins in these melanges record fluctuations in crack porosity at rates controlled by silica kinetics. Temperature-dependent healing of cracks impacts the critical stiffness for slip stability through increases in contact area and contact junction strength-a macroscopic analogue to aging in slide-hold-slide experiments on gouge. The potential for portions of the interface to strengthen through mineral redistribution during the interseismic period forms the basis for a two-dimensional numerical block-slider model for slip behavior of the subduction interface, where aging follows a temperature-dependent rate law. The model responds to a population balance equation, with nucleation, strengthening, and failure of patches of the interface that have greater static frictional strength, defined in the model as "asperities" An exponential rate law for nucleation and strengthening, based on Arrhenius equation silica kinetics, leads to: (1) supercycles of buildup and release of elastic strain, (2) a temperature-based updip limit to genesis of large earthquakes, and (3) a power-law size distribution of earthquakes that varies as a function of temperature. Asperities in this case arise by stochastic nucleation and strengthening based on a temperature-dependent rate law and are unrelated to roughness of the plate interface. Over a temperature range typical of the seismogenic zone, variations in effective stress along the plate interface lead to heterogeneous frictional characteristics in the interseismic period that could control the location, recurrence time, and magnitude of earthquakes.									0	0	0	0	0	0			1941-8264	1947-4253		WOS:000468202100002		
J	Luo, Jar-Der; Rong, Ke; Yang, Kunhao; Guo, Rong; Zou, YaQi								Syndication through social embeddedness: A comparison of foreign, private and state-owned venture capital (VC) firms								ASIA PACIFIC JOURNAL OF MANAGEMENT				36	2	SI		499	527		10.1007/s10490-017-9561-9					JUN 2019	2019	This paper explores the different syndication behavior in various types of Chinese venture capitals (VC), in particular it focuses on foreign, private-owned and state-owned VC firms and these firms' behavior when faced with institutional uncertainties. Mixed methods data analysis was conducted using the Simuton database of 1,173 VC firms and snowball interviews were also conducted in the Chinese state-owned and private-owned VCs as well as foreign VCs. Findings indicate foreign VC investors are more willing to build much denser relationships than those of Chinese state-owned and private VC firms in order to overcome the uncertainty. This result provides additional evidence that adopting close relationships or a guanxi-based (informal social network) strategy does not only depend on cultural issues such as East Asian culture, but also on high institutional uncertainty. Furthermore, this paper develops four propositions on how VC firms establish syndication influenced by high institutional uncertainty. Finally, the conclusion and discussion sections put forward implications to VC companies about how informal social networks facilitate the internationalization process and growth in foreign markets.									0	0	0	0	0	0			0217-4561	1572-9958		WOS:000468030800009		
J	Guo, Xiao; Zhang, Hai; Wang, Yao; Liang, Yong								Structure learning of sparse directed acyclic graphs incorporating the scale-free property								COMPUTATIONAL STATISTICS				34	2	SI		713	742		10.1007/s00180-018-0841-8					JUN 2019	2019	Directed acyclic graphs have been widely used to model the causal relationships among variables. Many existing works focus on l1 based methods to induce sparsity. However, in addition to sparsity, studies on networks show that many real networks are scale-free, that is, the degree of the network follows a power-law. To capture the scale-free property, in this paper we propose a novel penalized likelihood method by employing a log 1-norm group penalty which is the composite of the well-known log-type and lasso-type penalty functions. We then design an efficient coordinate descent algorithm to solve the resulting nonconvex problem. Moreover, we establish the estimation consistency of the estimator under the setting where the error variances are fixed at an identical constant. Numerical studies are also conducted to demonstrate the merits of our method.									0	0	0	0	0	0			0943-4062	1613-9658		WOS:000467230100014		
